time,station_id,station_name,latitude,longitude,depth,mass_concentration_of_oxygen_in_sea_water,sample_depth,sea_water_temperature,sea_water_salinity,fractional_saturation_of_oxygen_in_sea_water
UTC,,,degrees_north,degrees_east,m,mg/L,m,degree_C,,percent
2019-06-20T16:15:00Z,AOB,Arundel_on_the_Bay,38.91675,-76.45838,1.0,NaN,NaN,NaN,NaN,NaN
2019-06-20T16:30:00Z,AOB,Arundel_on_the_Bay,38.91675,-76.45838,1.0,6.09,0.922,24.17,6.74,75.3
2019-06-20T16:45:00Z,AOB,Arundel_on_the_Bay,38.91675,-76.45838,1.0,6.15,0.919,24.31,6.73,76.3
2019-06-20T17:00:00Z,AOB,Arundel_on_the_Bay,38.91675,-76.45838,1.0,5.9,0.921,24.03,6.76,72.9
2019-06-20T17:15:00Z,AOB,Arundel_on_the_Bay,38.91675,-76.45838,1.0,5.38,0.916,23.56,6.81,65.9
2019-06-20T17:30:00Z,AOB,Arundel_on_the_Bay,38.91675,-76.45838,1.0,6.18,0.913,24.38,6.78,76.9
2019-06-20T17:45:00Z,AOB,Arundel_on_the_Bay,38.91675,-76.45838,1.0,6.7,0.914,24.5,6.77,83.5
2019-06-20T18:00:00Z,AOB,Arundel_on_the_Bay,38.91675,-76.45838,1.0,6.81,0.91,24.42,6.76,84.8
2019-06-20T18:15:00Z,AOB,Arundel_on_the_Bay,38.91675,-76.45838,1.0,6.19,0.908,24.25,6.78,76.7
2019-06-20T18:30:00Z,AOB,Arundel_on_the_Bay,38.91675,-76.45838,1.0,5.89,0.907,24.15,6.79,72.9
2019-06-20T18:45:00Z,AOB,Arundel_on_the_Bay,38.91675,-76.45838,1.0,5.92,0.912,24.21,6.8,73.4
2019-06-20T19:00:00Z,AOB,Arundel_on_the_Bay,38.91675,-76.45838,1.0,6.1,0.911,24.09,6.82,75.5
2019-06-20T19:15:00Z,AOB,Arundel_on_the_Bay,38.91675,-76.45838,1.0,6.31,0.911,24.15,6.8,78.1
