time,station_id,station_name,latitude,longitude,depth,mass_concentration_of_oxygen_in_sea_water,sample_depth,sea_water_temperature,sea_water_salinity,fractional_saturation_of_oxygen_in_sea_water
UTC,,,degrees_north,degrees_east,m,mg/L,m,degree_C,,percent
2018-06-01T00:00:00Z,BSH,Bishopville_Prong,38.42396667,-75.18863333,0.3,3.24,0.539,24.55,1.3,39.2
2018-06-01T00:15:00Z,BSH,Bishopville_Prong,38.42396667,-75.18863333,0.3,4.15,0.531,24.61,2.25,50.5
2018-06-01T00:30:00Z,BSH,Bishopville_Prong,38.42396667,-75.18863333,0.3,3.3,0.53,25.25,1.5,40.5
2018-06-01T00:45:00Z,BSH,Bishopville_Prong,38.42396667,-75.18863333,0.3,3.63,0.546,25.33,1.19,44.5
2018-06-01T01:00:00Z,BSH,Bishopville_Prong,38.42396667,-75.18863333,0.3,4.03,0.572,24.83,3.94,49.7
2018-06-01T01:15:00Z,BSH,Bishopville_Prong,38.42396667,-75.18863333,0.3,4.69,0.604,25.37,2.52,58.0
2018-06-01T01:30:00Z,BSH,Bishopville_Prong,38.42396667,-75.18863333,0.3,2.85,0.634,24.77,5.83,35.5
2018-06-01T01:45:00Z,BSH,Bishopville_Prong,38.42396667,-75.18863333,0.3,2.16,0.658,24.44,8.29,27.1
2018-06-01T02:00:00Z,BSH,Bishopville_Prong,38.42396667,-75.18863333,0.3,1.84,0.677,24.49,7.51,23.0
2018-06-01T02:15:00Z,BSH,Bishopville_Prong,38.42396667,-75.18863333,0.3,1.68,0.694,24.59,7.63,21.1
2018-06-01T02:30:00Z,BSH,Bishopville_Prong,38.42396667,-75.18863333,0.3,2.27,0.709,24.66,7.66,28.5
2018-06-01T02:45:00Z,BSH,Bishopville_Prong,38.42396667,-75.18863333,0.3,1.67,0.717,24.81,7.1,20.9
2018-06-01T03:00:00Z,BSH,Bishopville_Prong,38.42396667,-75.18863333,0.3,1.78,0.726,25.05,7.92,22.5
2018-06-01T03:15:00Z,BSH,Bishopville_Prong,38.42396667,-75.18863333,0.3,1.65,0.737,25.23,7.81,21.0
2018-06-01T03:30:00Z,BSH,Bishopville_Prong,38.42396667,-75.18863333,0.3,2.34,0.753,25.09,8.37,29.7
2018-06-01T03:45:00Z,BSH,Bishopville_Prong,38.42396667,-75.18863333,0.3,2.36,0.767,25.57,9.03,30.3
2018-06-01T04:00:00Z,BSH,Bishopville_Prong,38.42396667,-75.18863333,0.3,3.07,0.774,25.21,9.58,39.4
2018-06-01T04:15:00Z,BSH,Bishopville_Prong,38.42396667,-75.18863333,0.3,3.14,0.779,25.16,9.98,40.4
2018-06-01T04:30:00Z,BSH,Bishopville_Prong,38.42396667,-75.18863333,0.3,3.51,0.782,25.49,9.8,45.3
2018-06-01T04:45:00Z,BSH,Bishopville_Prong,38.42396667,-75.18863333,0.3,3.26,0.785,25.31,9.94,41.9
2018-06-01T05:00:00Z,BSH,Bishopville_Prong,38.42396667,-75.18863333,0.3,1.89,0.779,25.15,10.28,24.3
2018-06-01T05:15:00Z,BSH,Bishopville_Prong,38.42396667,-75.18863333,0.3,0.96,0.774,25.31,10.22,12.4
2018-06-01T05:30:00Z,BSH,Bishopville_Prong,38.42396667,-75.18863333,0.3,2.53,0.763,25.25,10.29,32.6
2018-06-01T05:45:00Z,BSH,Bishopville_Prong,38.42396667,-75.18863333,0.3,2.98,0.746,25.25,10.51,38.5
2018-06-01T06:00:00Z,BSH,Bishopville_Prong,38.42396667,-75.18863333,0.3,2.06,0.728,24.79,10.03,26.2
2018-06-01T06:15:00Z,BSH,Bishopville_Prong,38.42396667,-75.18863333,0.3,1.3,0.7,24.77,9.62,16.5
2018-06-01T06:30:00Z,BSH,Bishopville_Prong,38.42396667,-75.18863333,0.3,1.46,0.677,24.73,9.49,18.6
2018-06-01T06:45:00Z,BSH,Bishopville_Prong,38.42396667,-75.18863333,0.3,1.15,0.662,24.75,9.7,14.7
2018-06-01T07:00:00Z,BSH,Bishopville_Prong,38.42396667,-75.18863333,0.3,1.72,0.656,24.85,10.32,22.1
2018-06-01T07:15:00Z,BSH,Bishopville_Prong,38.42396667,-75.18863333,0.3,1.56,0.653,24.86,9.94,20.0
2018-06-01T07:30:00Z,BSH,Bishopville_Prong,38.42396667,-75.18863333,0.3,1.62,0.641,24.88,9.93,20.7
2018-06-01T07:45:00Z,BSH,Bishopville_Prong,38.42396667,-75.18863333,0.3,1.37,0.623,24.89,9.6,17.5
2018-06-01T08:00:00Z,BSH,Bishopville_Prong,38.42396667,-75.18863333,0.3,2.68,0.597,25.13,9.49,34.3
2018-06-01T08:15:00Z,BSH,Bishopville_Prong,38.42396667,-75.18863333,0.3,2.47,0.577,25.11,9.08,31.6
2018-06-01T08:30:00Z,BSH,Bishopville_Prong,38.42396667,-75.18863333,0.3,1.94,0.562,24.96,9.23,24.7
2018-06-01T08:45:00Z,BSH,Bishopville_Prong,38.42396667,-75.18863333,0.3,2.06,0.556,24.99,9.3,26.2
2018-06-01T09:00:00Z,BSH,Bishopville_Prong,38.42396667,-75.18863333,0.3,1.46,0.547,24.9,9.33,18.6
2018-06-01T09:15:00Z,BSH,Bishopville_Prong,38.42396667,-75.18863333,0.3,1.26,0.537,24.96,8.84,16.0
2018-06-01T09:30:00Z,BSH,Bishopville_Prong,38.42396667,-75.18863333,0.3,2.39,0.526,25.03,8.34,30.3
2018-06-01T09:45:00Z,BSH,Bishopville_Prong,38.42396667,-75.18863333,0.3,1.9,0.512,24.95,8.57,24.1
2018-06-01T10:00:00Z,BSH,Bishopville_Prong,38.42396667,-75.18863333,0.3,2.26,0.501,24.99,8.51,28.7
2018-06-01T10:15:00Z,BSH,Bishopville_Prong,38.42396667,-75.18863333,0.3,0.83,0.491,24.91,8.31,10.5
2018-06-01T10:30:00Z,BSH,Bishopville_Prong,38.42396667,-75.18863333,0.3,1.41,0.473,24.88,8.4,17.8
2018-06-01T10:45:00Z,BSH,Bishopville_Prong,38.42396667,-75.18863333,0.3,1.91,0.461,24.79,6.52,23.9
2018-06-01T11:00:00Z,BSH,Bishopville_Prong,38.42396667,-75.18863333,0.3,1.23,0.452,24.81,8.29,15.5
2018-06-01T11:15:00Z,BSH,Bishopville_Prong,38.42396667,-75.18863333,0.3,1.67,0.451,24.85,8.29,21.2
