time,station_id,station_name,latitude,longitude,depth,mass_concentration_of_oxygen_in_sea_water,sample_depth,sea_water_temperature,sea_water_salinity,fractional_saturation_of_oxygen_in_sea_water
UTC,,,degrees_north,degrees_east,m,mg/L,m,degree_C,,percent
2017-06-01T00:00:14Z,CTW,Camp_Tockwogh,39.35393333,-76.1296,1.0,8.17,NaN,21.06,0.56,92.1
2017-06-01T00:15:14Z,CTW,Camp_Tockwogh,39.35393333,-76.1296,1.0,7.93,NaN,20.77,0.63,88.8
2017-06-01T00:30:14Z,CTW,Camp_Tockwogh,39.35393333,-76.1296,1.0,7.96,NaN,20.83,0.61,89.3
2017-06-01T00:45:14Z,CTW,Camp_Tockwogh,39.35393333,-76.1296,1.0,7.95,NaN,20.8,0.6,89.2
2017-06-01T01:00:13Z,CTW,Camp_Tockwogh,39.35393333,-76.1296,1.0,8.02,NaN,20.89,0.58,90.1
2017-06-01T01:15:14Z,CTW,Camp_Tockwogh,39.35393333,-76.1296,1.0,7.97,NaN,20.92,0.58,89.6
2017-06-01T01:30:14Z,CTW,Camp_Tockwogh,39.35393333,-76.1296,1.0,8.0,NaN,20.91,0.58,89.9
2017-06-01T01:45:14Z,CTW,Camp_Tockwogh,39.35393333,-76.1296,1.0,8.04,NaN,20.92,0.57,90.3
2017-06-01T02:00:14Z,CTW,Camp_Tockwogh,39.35393333,-76.1296,1.0,8.09,NaN,20.83,0.56,90.7
2017-06-01T02:15:14Z,CTW,Camp_Tockwogh,39.35393333,-76.1296,1.0,8.17,NaN,20.83,0.58,91.7
2017-06-01T02:30:14Z,CTW,Camp_Tockwogh,39.35393333,-76.1296,1.0,8.36,NaN,21.02,0.62,94.2
2017-06-01T02:45:13Z,CTW,Camp_Tockwogh,39.35393333,-76.1296,1.0,8.41,NaN,21.17,0.65,95.0
2017-06-01T03:00:14Z,CTW,Camp_Tockwogh,39.35393333,-76.1296,1.0,8.48,NaN,21.29,0.64,96.0
2017-06-01T03:15:14Z,CTW,Camp_Tockwogh,39.35393333,-76.1296,1.0,8.52,NaN,21.4,0.63,96.7
2017-06-01T03:30:14Z,CTW,Camp_Tockwogh,39.35393333,-76.1296,1.0,8.49,NaN,21.27,0.66,96.1
2017-06-01T03:45:14Z,CTW,Camp_Tockwogh,39.35393333,-76.1296,1.0,8.61,NaN,21.25,0.73,97.4
2017-06-01T04:00:13Z,CTW,Camp_Tockwogh,39.35393333,-76.1296,1.0,8.6,NaN,21.24,0.72,97.4
2017-06-01T04:15:13Z,CTW,Camp_Tockwogh,39.35393333,-76.1296,1.0,8.59,NaN,21.24,0.71,97.2
2017-06-01T04:30:14Z,CTW,Camp_Tockwogh,39.35393333,-76.1296,1.0,8.73,NaN,21.2,0.72,98.7
2017-06-01T04:45:14Z,CTW,Camp_Tockwogh,39.35393333,-76.1296,1.0,8.81,NaN,21.13,0.74,99.5
2017-06-01T05:00:14Z,CTW,Camp_Tockwogh,39.35393333,-76.1296,1.0,8.78,NaN,21.12,0.74,99.2
2017-06-01T05:15:13Z,CTW,Camp_Tockwogh,39.35393333,-76.1296,1.0,8.79,NaN,21.11,0.74,99.2
2017-06-01T05:30:14Z,CTW,Camp_Tockwogh,39.35393333,-76.1296,1.0,8.82,NaN,21.12,0.74,99.6
2017-06-01T05:45:13Z,CTW,Camp_Tockwogh,39.35393333,-76.1296,1.0,8.74,NaN,21.08,0.73,98.6
2017-06-01T06:00:14Z,CTW,Camp_Tockwogh,39.35393333,-76.1296,1.0,8.82,NaN,21.08,0.74,99.5
2017-06-01T06:15:14Z,CTW,Camp_Tockwogh,39.35393333,-76.1296,1.0,8.81,NaN,21.06,0.74,99.3
2017-06-01T06:30:14Z,CTW,Camp_Tockwogh,39.35393333,-76.1296,1.0,8.81,NaN,21.06,0.74,99.3
2017-06-01T06:45:14Z,CTW,Camp_Tockwogh,39.35393333,-76.1296,1.0,8.8,NaN,21.04,0.75,99.2
2017-06-01T07:00:14Z,CTW,Camp_Tockwogh,39.35393333,-76.1296,1.0,8.77,NaN,21.02,0.75,98.9
2017-06-01T07:15:14Z,CTW,Camp_Tockwogh,39.35393333,-76.1296,1.0,8.77,NaN,21.02,0.75,98.8
2017-06-01T07:30:13Z,CTW,Camp_Tockwogh,39.35393333,-76.1296,1.0,8.8,NaN,20.98,0.75,99.0
2017-06-01T07:45:14Z,CTW,Camp_Tockwogh,39.35393333,-76.1296,1.0,8.75,NaN,20.98,0.74,98.5
2017-06-01T08:00:14Z,CTW,Camp_Tockwogh,39.35393333,-76.1296,1.0,8.56,NaN,20.9,0.72,96.2
2017-06-01T08:15:14Z,CTW,Camp_Tockwogh,39.35393333,-76.1296,1.0,8.53,NaN,20.89,0.71,95.9
2017-06-01T08:30:13Z,CTW,Camp_Tockwogh,39.35393333,-76.1296,1.0,8.58,NaN,20.9,0.73,96.4
2017-06-01T08:45:14Z,CTW,Camp_Tockwogh,39.35393333,-76.1296,1.0,8.57,NaN,20.85,0.72,96.3
2017-06-01T09:00:14Z,CTW,Camp_Tockwogh,39.35393333,-76.1296,1.0,8.54,NaN,20.83,0.71,95.9
2017-06-01T09:15:14Z,CTW,Camp_Tockwogh,39.35393333,-76.1296,1.0,8.5,NaN,20.81,0.7,95.3
2017-06-01T09:30:14Z,CTW,Camp_Tockwogh,39.35393333,-76.1296,1.0,8.5,NaN,20.78,0.7,95.3
2017-06-01T09:45:14Z,CTW,Camp_Tockwogh,39.35393333,-76.1296,1.0,8.51,NaN,20.77,0.7,95.4
2017-06-01T10:00:14Z,CTW,Camp_Tockwogh,39.35393333,-76.1296,1.0,8.53,NaN,20.75,0.7,95.6
2017-06-01T10:15:14Z,CTW,Camp_Tockwogh,39.35393333,-76.1296,1.0,8.53,NaN,20.73,0.7,95.5
2017-06-01T10:30:14Z,CTW,Camp_Tockwogh,39.35393333,-76.1296,1.0,8.53,NaN,20.71,0.71,95.5
2017-06-01T10:45:14Z,CTW,Camp_Tockwogh,39.35393333,-76.1296,1.0,8.55,NaN,20.69,0.71,95.7
2017-06-01T11:00:14Z,CTW,Camp_Tockwogh,39.35393333,-76.1296,1.0,8.59,NaN,20.7,0.71,96.2
2017-06-01T11:15:14Z,CTW,Camp_Tockwogh,39.35393333,-76.1296,1.0,8.53,NaN,20.64,0.7,95.4
2017-06-01T11:30:14Z,CTW,Camp_Tockwogh,39.35393333,-76.1296,1.0,8.53,NaN,20.62,0.7,95.3
2017-06-01T11:45:14Z,CTW,Camp_Tockwogh,39.35393333,-76.1296,1.0,8.5,NaN,20.57,0.68,94.9
2017-06-01T12:00:14Z,CTW,Camp_Tockwogh,39.35393333,-76.1296,1.0,8.5,NaN,20.56,0.66,94.9
