time,station_id,station_name,latitude,longitude,depth,mass_concentration_of_oxygen_in_sea_water,sample_depth,sea_water_temperature,sea_water_salinity,fractional_saturation_of_oxygen_in_sea_water
UTC,,,degrees_north,degrees_east,m,mg/L,m,degree_C,,percent
2017-06-01T00:00:00Z,DAR,Dares_Beach,38.55789,-76.51502,0.3,10.35,1.255,22.94,7.86,126.1
2017-06-01T00:15:00Z,DAR,Dares_Beach,38.55789,-76.51502,0.3,10.6,1.271,22.974,7.62,129.0
2017-06-01T00:30:00Z,DAR,Dares_Beach,38.55789,-76.51502,0.3,11.4,1.286,22.878,7.84,138.7
2017-06-01T00:45:00Z,DAR,Dares_Beach,38.55789,-76.51502,0.3,11.65,1.295,22.82,8.02,141.7
2017-06-01T01:00:00Z,DAR,Dares_Beach,38.55789,-76.51502,0.3,11.85,1.301,22.717,8.34,144.2
2017-06-01T01:15:00Z,DAR,Dares_Beach,38.55789,-76.51502,0.3,12.02,1.3,22.598,8.16,145.7
2017-06-01T01:30:00Z,DAR,Dares_Beach,38.55789,-76.51502,0.3,11.95,1.301,22.517,8.47,145.0
2017-06-01T01:45:00Z,DAR,Dares_Beach,38.55789,-76.51502,0.3,11.85,1.303,22.454,7.97,143.2
2017-06-01T02:00:00Z,DAR,Dares_Beach,38.55789,-76.51502,0.3,11.82,1.293,22.36,7.87,142.4
2017-06-01T02:15:00Z,DAR,Dares_Beach,38.55789,-76.51502,0.3,11.6,1.278,22.305,8.15,139.9
2017-06-01T02:30:00Z,DAR,Dares_Beach,38.55789,-76.51502,0.3,11.42,1.272,22.275,8.01,137.6
2017-06-01T02:45:00Z,DAR,Dares_Beach,38.55789,-76.51502,0.3,11.38,1.25,22.108,8.16,136.8
2017-06-01T03:00:01Z,DAR,Dares_Beach,38.55789,-76.51502,0.3,11.46,1.251,22.047,8.13,137.5
2017-06-01T03:15:00Z,DAR,Dares_Beach,38.55789,-76.51502,0.3,11.47,1.236,22.126,8.06,137.7
2017-06-01T03:30:00Z,DAR,Dares_Beach,38.55789,-76.51502,0.3,11.29,1.223,22.174,8.21,135.9
2017-06-01T03:45:01Z,DAR,Dares_Beach,38.55789,-76.51502,0.3,11.3,1.202,22.193,8.12,135.9
2017-06-01T04:00:00Z,DAR,Dares_Beach,38.55789,-76.51502,0.3,11.2,1.187,22.343,7.83,134.9
2017-06-01T04:15:00Z,DAR,Dares_Beach,38.55789,-76.51502,0.3,11.15,1.158,22.385,8.36,134.8
2017-06-01T04:30:00Z,DAR,Dares_Beach,38.55789,-76.51502,0.3,10.56,1.131,22.48,8.24,127.8
2017-06-01T04:45:01Z,DAR,Dares_Beach,38.55789,-76.51502,0.3,10.15,1.128,22.469,8.06,122.7
2017-06-01T05:00:00Z,DAR,Dares_Beach,38.55789,-76.51502,0.3,9.87,1.119,22.38,8.09,119.2
2017-06-01T05:15:00Z,DAR,Dares_Beach,38.55789,-76.51502,0.3,10.23,1.087,22.27,8.0,123.2
2017-06-01T05:30:00Z,DAR,Dares_Beach,38.55789,-76.51502,0.3,9.28,1.063,21.373,8.23,110.1
2017-06-01T05:45:00Z,DAR,Dares_Beach,38.55789,-76.51502,0.3,9.05,1.041,21.054,8.16,106.6
2017-06-01T06:00:00Z,DAR,Dares_Beach,38.55789,-76.51502,0.3,8.84,1.026,20.941,8.08,103.8
2017-06-01T06:15:00Z,DAR,Dares_Beach,38.55789,-76.51502,0.3,8.69,1.018,20.914,8.4,102.3
2017-06-01T06:30:00Z,DAR,Dares_Beach,38.55789,-76.51502,0.3,8.7,0.989,20.943,8.24,102.2
2017-06-01T06:45:00Z,DAR,Dares_Beach,38.55789,-76.51502,0.3,8.21,0.984,21.023,7.99,96.6
2017-06-01T07:00:00Z,DAR,Dares_Beach,38.55789,-76.51502,0.3,8.33,0.979,20.969,8.21,98.0
