time,station_id,station_name,latitude,longitude,depth,mass_concentration_of_oxygen_in_sea_water,sample_depth,sea_water_temperature,sea_water_salinity,fractional_saturation_of_oxygen_in_sea_water
UTC,,,degrees_north,degrees_east,m,mg/L,m,degree_C,,percent
2018-06-01T00:00:00Z,HAD,Harris_Creek_Downstream,38.712517,-76.316803,0.3,5.44,3.482,25.28,9.96,69.977
2018-06-01T00:15:00Z,HAD,Harris_Creek_Downstream,38.712517,-76.316803,0.3,5.75,3.453,25.27,9.96,74.005
2018-06-01T00:30:00Z,HAD,Harris_Creek_Downstream,38.712517,-76.316803,0.3,5.93,3.433,25.29,9.96,76.279
2018-06-01T00:45:00Z,HAD,Harris_Creek_Downstream,38.712517,-76.316803,0.3,6.41,3.413,25.39,9.96,82.725
2018-06-01T01:00:00Z,HAD,Harris_Creek_Downstream,38.712517,-76.316803,0.3,6.83,3.385,25.49,9.95,88.197
2018-06-01T01:15:00Z,HAD,Harris_Creek_Downstream,38.712517,-76.316803,0.3,7.12,3.365,25.55,9.91,92.116
2018-06-01T01:30:00Z,HAD,Harris_Creek_Downstream,38.712517,-76.316803,0.3,7.0,3.337,25.52,9.91,90.446
2018-06-01T01:45:00Z,HAD,Harris_Creek_Downstream,38.712517,-76.316803,0.3,6.59,3.342,25.51,9.9,85.091
2018-06-01T02:00:00Z,HAD,Harris_Creek_Downstream,38.712517,-76.316803,0.3,6.35,3.311,25.48,9.89,82.011
2018-06-01T02:15:00Z,HAD,Harris_Creek_Downstream,38.712517,-76.316803,0.3,6.26,3.272,25.47,9.89,80.87
2018-06-01T02:30:00Z,HAD,Harris_Creek_Downstream,38.712517,-76.316803,0.3,6.2,3.264,25.46,9.85,79.98
2018-06-01T02:45:00Z,HAD,Harris_Creek_Downstream,38.712517,-76.316803,0.3,6.27,3.262,25.46,9.87,80.853
2018-06-01T03:00:00Z,HAD,Harris_Creek_Downstream,38.712517,-76.316803,0.3,6.22,3.234,25.48,9.87,80.316
2018-06-01T03:15:00Z,HAD,Harris_Creek_Downstream,38.712517,-76.316803,0.3,6.05,3.23,25.48,9.85,78.134
2018-06-01T03:30:00Z,HAD,Harris_Creek_Downstream,38.712517,-76.316803,0.3,5.99,3.23,25.47,9.84,77.295
2018-06-01T03:45:00Z,HAD,Harris_Creek_Downstream,38.712517,-76.316803,0.3,5.95,3.224,25.42,9.86,76.733
2018-06-01T04:00:00Z,HAD,Harris_Creek_Downstream,38.712517,-76.316803,0.3,5.8,3.215,25.42,9.85,74.836
2018-06-01T04:15:00Z,HAD,Harris_Creek_Downstream,38.712517,-76.316803,0.3,5.74,3.21,25.39,9.87,73.955
2018-06-01T04:30:00Z,HAD,Harris_Creek_Downstream,38.712517,-76.316803,0.3,5.54,3.233,25.37,9.85,71.42
