time,station_id,station_name,latitude,longitude,depth,mass_concentration_of_oxygen_in_sea_water,sample_depth,sea_water_temperature,sea_water_salinity,fractional_saturation_of_oxygen_in_sea_water
UTC,,,degrees_north,degrees_east,m,mg/L,m,degree_C,,percent
2018-06-01T00:00:00Z,HAU,Harris_Creek_Upstream,38.77315,-76.2823,0.3,6.02,3.238,25.44,9.81,77.597
2018-06-01T00:15:00Z,HAU,Harris_Creek_Upstream,38.77315,-76.2823,0.3,6.04,3.209,25.5,9.83,77.924
2018-06-01T00:30:00Z,HAU,Harris_Creek_Upstream,38.77315,-76.2823,0.3,6.18,3.18,25.58,9.84,79.88
2018-06-01T00:45:00Z,HAU,Harris_Creek_Upstream,38.77315,-76.2823,0.3,6.28,3.156,25.63,9.84,81.323
2018-06-01T01:00:00Z,HAU,Harris_Creek_Upstream,38.77315,-76.2823,0.3,6.19,3.148,25.65,9.84,80.115
2018-06-01T01:15:00Z,HAU,Harris_Creek_Upstream,38.77315,-76.2823,0.3,6.07,3.139,25.65,9.84,78.613
2018-06-01T01:30:00Z,HAU,Harris_Creek_Upstream,38.77315,-76.2823,0.3,6.06,3.107,25.68,9.84,78.545
2018-06-01T01:45:00Z,HAU,Harris_Creek_Upstream,38.77315,-76.2823,0.3,6.55,3.088,25.75,9.83,84.94
2018-06-01T02:00:00Z,HAU,Harris_Creek_Upstream,38.77315,-76.2823,0.3,6.45,3.082,25.7,9.81,83.606
2018-06-01T02:15:00Z,HAU,Harris_Creek_Upstream,38.77315,-76.2823,0.3,6.2,3.062,25.67,9.81,80.35
2018-06-01T02:30:00Z,HAU,Harris_Creek_Upstream,38.77315,-76.2823,0.3,5.97,3.036,25.62,9.79,77.287
2018-06-01T02:45:00Z,HAU,Harris_Creek_Upstream,38.77315,-76.2823,0.3,5.98,3.002,25.54,9.74,77.169
2018-06-01T03:00:00Z,HAU,Harris_Creek_Upstream,38.77315,-76.2823,0.3,5.66,2.984,25.52,9.73,73.015
2018-06-01T03:15:00Z,HAU,Harris_Creek_Upstream,38.77315,-76.2823,0.3,5.9,2.97,25.61,9.72,76.237
2018-06-01T03:30:00Z,HAU,Harris_Creek_Upstream,38.77315,-76.2823,0.3,5.85,2.95,25.68,9.74,75.684
2018-06-01T03:45:00Z,HAU,Harris_Creek_Upstream,38.77315,-76.2823,0.3,6.01,2.94,25.72,9.74,77.84
