monitoring_location_id,time_series_id,site_name,block_index,block_start,block_end,reference_points,minimum_DO_mgL,maximum_DO_mgL,reference_occupation_hours,reference_deficit_mgL_hours,reference_max_slope_mgL_per_hour,reference_L_compatible
USGS-01491000,79480fea74964d81bf3822a6a66ee1c7,"CHOPTANK RIVER NEAR GREENSBORO, MD",0,2024-06-01 00:00:00+00:00,2024-06-08 00:00:00+00:00,673,6.0,7.8,0.0,0.0,0.40000000000000213,True
USGS-01491000,79480fea74964d81bf3822a6a66ee1c7,"CHOPTANK RIVER NEAR GREENSBORO, MD",1,2024-06-18 16:00:00+00:00,2024-06-25 16:00:00+00:00,673,4.5,7.8,14.5,3.7750000000000004,0.8000000000000007,True
USGS-01491000,79480fea74964d81bf3822a6a66ee1c7,"CHOPTANK RIVER NEAR GREENSBORO, MD",2,2024-06-25 16:15:00+00:00,2024-07-02 16:15:00+00:00,673,4.6,8.7,12.5,2.099999999999998,2.0,True
USGS-01491000,79480fea74964d81bf3822a6a66ee1c7,"CHOPTANK RIVER NEAR GREENSBORO, MD",3,2024-07-02 16:30:00+00:00,2024-07-09 16:30:00+00:00,673,4.5,7.6,29.0,6.274999999999998,1.2000000000000028,True
USGS-01579550,abaf8aaaf7bd495483198ad33d277024,"SUSQUEHANNA RIVER NEAR DARLINGTON, MD",0,2024-06-01 11:45:00+00:00,2024-06-08 11:45:00+00:00,673,6.4,8.9,0.0,0.0,2.0,True
USGS-01579550,abaf8aaaf7bd495483198ad33d277024,"SUSQUEHANNA RIVER NEAR DARLINGTON, MD",1,2024-06-08 12:00:00+00:00,2024-06-15 12:00:00+00:00,673,5.7,9.4,0.0,0.0,2.0,True
USGS-01579550,abaf8aaaf7bd495483198ad33d277024,"SUSQUEHANNA RIVER NEAR DARLINGTON, MD",2,2024-06-15 12:15:00+00:00,2024-06-22 12:15:00+00:00,673,5.5,9.9,0.0,0.0,3.200000000000003,True
USGS-01579550,abaf8aaaf7bd495483198ad33d277024,"SUSQUEHANNA RIVER NEAR DARLINGTON, MD",3,2024-06-22 12:30:00+00:00,2024-06-29 12:30:00+00:00,673,5.0,10.7,0.0,0.0,2.8000000000000043,True
USGS-01594441,979a9c0c3a4842e8bd56bd05b649ab28,Patuxent R at Gov Bridge Natural Area nr Bowie MD,0,2024-06-01 00:00:00+00:00,2024-06-08 00:00:00+00:00,673,6.0,8.1,0.0,0.0,0.40000000000000213,True
USGS-01594441,979a9c0c3a4842e8bd56bd05b649ab28,Patuxent R at Gov Bridge Natural Area nr Bowie MD,1,2024-06-08 00:15:00+00:00,2024-06-15 00:15:00+00:00,673,6.6,8.1,0.0,0.0,0.40000000000000213,True
USGS-01594441,979a9c0c3a4842e8bd56bd05b649ab28,Patuxent R at Gov Bridge Natural Area nr Bowie MD,2,2024-06-15 00:30:00+00:00,2024-06-22 00:30:00+00:00,673,6.3,7.8,0.0,0.0,0.7999999999999972,True
USGS-01594441,979a9c0c3a4842e8bd56bd05b649ab28,Patuxent R at Gov Bridge Natural Area nr Bowie MD,3,2024-06-22 00:45:00+00:00,2024-06-29 00:45:00+00:00,673,5.6,8.2,0.0,0.0,0.8000000000000007,True
USGS-01638500,7329a5d59c164090aee93904299d4a7a,"POTOMAC RIVER AT POINT OF ROCKS, MD",0,2024-06-01 00:00:00+00:00,2024-06-08 00:00:00+00:00,673,6.4,10.8,0.0,0.0,0.8000000000000043,True
USGS-01638500,7329a5d59c164090aee93904299d4a7a,"POTOMAC RIVER AT POINT OF ROCKS, MD",1,2024-06-08 00:15:00+00:00,2024-06-15 00:15:00+00:00,673,6.0,10.7,0.0,0.0,1.2000000000000028,True
USGS-01638500,7329a5d59c164090aee93904299d4a7a,"POTOMAC RIVER AT POINT OF ROCKS, MD",2,2024-06-18 20:00:00+00:00,2024-06-25 20:00:00+00:00,673,4.5,11.3,13.0,2.7500000000000004,1.6000000000000014,True
USGS-01638500,7329a5d59c164090aee93904299d4a7a,"POTOMAC RIVER AT POINT OF ROCKS, MD",3,2024-06-25 20:15:00+00:00,2024-07-02 20:15:00+00:00,673,4.8,11.5,3.75,0.44999999999999973,2.799999999999997,True
USGS-01643580,4d259ae612cb4d82bd36c7ccd1051434,"MONOCACY RIVER NEAR DICKERSON, MD",0,2024-06-01 22:00:00+00:00,2024-06-08 22:00:00+00:00,673,6.3,12.7,0.0,0.0,1.6000000000000014,True
USGS-01643580,4d259ae612cb4d82bd36c7ccd1051434,"MONOCACY RIVER NEAR DICKERSON, MD",1,2024-06-10 19:15:00+00:00,2024-06-17 19:15:00+00:00,673,5.8,11.1,0.0,0.0,1.2000000000000028,True
USGS-01643580,4d259ae612cb4d82bd36c7ccd1051434,"MONOCACY RIVER NEAR DICKERSON, MD",2,2024-06-27 13:30:00+00:00,2024-07-04 13:30:00+00:00,673,5.4,12.1,0.0,0.0,1.6000000000000014,True
USGS-01643580,4d259ae612cb4d82bd36c7ccd1051434,"MONOCACY RIVER NEAR DICKERSON, MD",3,2024-07-12 18:00:00+00:00,2024-07-19 18:00:00+00:00,673,5.2,11.7,0.0,0.0,1.6000000000000014,True
USGS-01646500,bb18f3558934465194f8da1d5f1c3df3,"POTOMAC RIVER NEAR WASH, DC LITTLE FALLS PUMP STA",0,2024-06-07 17:15:00+00:00,2024-06-14 17:15:00+00:00,673,7.2,10.8,0.0,0.0,0.8000000000000043,True
