station,block_index,block_start_utc,block_end_utc,cadence_hours,compatible_phase_cases_n,median_occupation_width_over_T,median_nonnegative_deficit_width_over_HT
Camp Tockwogh,0,2017-06-01 00:00:14+00:00,2017-06-08 00:00:28+00:00,0.5,2,0.018,0.001
Camp Tockwogh,0,2017-06-01 00:00:14+00:00,2017-06-08 00:00:28+00:00,1,4,0.417,0.122
Camp Tockwogh,0,2017-06-01 00:00:14+00:00,2017-06-08 00:00:28+00:00,2,8,0.708,0.519
Camp Tockwogh,0,2017-06-01 00:00:14+00:00,2017-06-08 00:00:28+00:00,4,16,0.854,0.760
Camp Tockwogh,1,2017-06-08 00:15:28+00:00,2017-06-15 00:15:27+00:00,0.5,2,0.079,0.004
Camp Tockwogh,1,2017-06-08 00:15:28+00:00,2017-06-15 00:15:27+00:00,1,4,0.502,0.172
Camp Tockwogh,1,2017-06-08 00:15:28+00:00,2017-06-15 00:15:27+00:00,2,8,0.750,0.561
Camp Tockwogh,1,2017-06-08 00:15:28+00:00,2017-06-15 00:15:27+00:00,4,16,0.875,0.781
Camp Tockwogh,2,2017-06-15 00:30:27+00:00,2017-06-22 00:30:27+00:00,0.5,2,0.257,0.032
Camp Tockwogh,2,2017-06-15 00:30:27+00:00,2017-06-22 00:30:27+00:00,1,4,0.617,0.259
Camp Tockwogh,2,2017-06-15 00:30:27+00:00,2017-06-22 00:30:27+00:00,2,8,0.809,0.620
Camp Tockwogh,2,2017-06-15 00:30:27+00:00,2017-06-22 00:30:27+00:00,4,16,0.905,0.810
Camp Tockwogh,3,2017-06-22 00:45:27+00:00,2017-06-29 00:45:12+00:00,0.5,2,0.134,0.011
Camp Tockwogh,3,2017-06-22 00:45:27+00:00,2017-06-29 00:45:12+00:00,1,4,0.533,0.195
Camp Tockwogh,3,2017-06-22 00:45:27+00:00,2017-06-29 00:45:12+00:00,2,8,0.767,0.578
Camp Tockwogh,3,2017-06-22 00:45:27+00:00,2017-06-29 00:45:12+00:00,4,16,0.884,0.789
Harris Creek Upstream,0,2018-06-19 13:15:00+00:00,2018-06-26 13:15:00+00:00,0.5,2,0.675,0.159
Harris Creek Upstream,0,2018-06-19 13:15:00+00:00,2018-06-26 13:15:00+00:00,1,4,0.837,0.459
Harris Creek Upstream,0,2018-06-19 13:15:00+00:00,2018-06-26 13:15:00+00:00,2,8,0.919,0.729
Harris Creek Upstream,0,2018-06-19 13:15:00+00:00,2018-06-26 13:15:00+00:00,4,16,0.959,0.865
Harris Creek Upstream,1,2018-06-26 13:30:00+00:00,2018-07-03 13:30:00+00:00,0.5,2,0.564,0.116
Harris Creek Upstream,1,2018-06-26 13:30:00+00:00,2018-07-03 13:30:00+00:00,1,4,0.782,0.406
Harris Creek Upstream,1,2018-06-26 13:30:00+00:00,2018-07-03 13:30:00+00:00,2,8,0.891,0.702
Harris Creek Upstream,1,2018-06-26 13:30:00+00:00,2018-07-03 13:30:00+00:00,4,16,0.945,0.851
Harris Creek Upstream,2,2018-07-03 13:45:00+00:00,2018-07-10 13:45:00+00:00,0.5,2,0.575,0.130
Harris Creek Upstream,2,2018-07-03 13:45:00+00:00,2018-07-10 13:45:00+00:00,1,4,0.787,0.415
Harris Creek Upstream,2,2018-07-03 13:45:00+00:00,2018-07-10 13:45:00+00:00,2,8,0.894,0.707
Harris Creek Upstream,2,2018-07-03 13:45:00+00:00,2018-07-10 13:45:00+00:00,4,16,0.947,0.853
Harris Creek Upstream,3,2018-07-10 14:00:00+00:00,2018-07-17 14:00:00+00:00,0.5,2,0.608,0.132
Harris Creek Upstream,3,2018-07-10 14:00:00+00:00,2018-07-17 14:00:00+00:00,1,4,0.804,0.428
Harris Creek Upstream,3,2018-07-10 14:00:00+00:00,2018-07-17 14:00:00+00:00,2,8,0.902,0.714
Harris Creek Upstream,3,2018-07-10 14:00:00+00:00,2018-07-17 14:00:00+00:00,4,16,0.951,0.857
